RACED,RACED_value,RACED_desc
841,Black and PI write_in,Race [detailed version]
842,Black and other PI race(s),Race [detailed version]
845,Black and other race write_in,Race [detailed version]
850,AIAN and Asian,Race [detailed version]
851,AIAN and Filipino (2000 1%),Race [detailed version]
852,AIAN and Asian Indian,Race [detailed version]
853,AIAN and Asian write_in (2000 1%),Race [detailed version]
854,AIAN and other Asian race(s),Race [detailed version]
855,AIAN and PI,Race [detailed version]
856,AIAN and other race write_in,Race [detailed version]
860,Asian and PI,Race [detailed version]
861,Chinese and Hawaiian,Race [detailed version]
862,"Chinese, Filipino, Hawaiian (2000 1%)",Race [detailed version]
863,Japanese and Hawaiian (2000 1%),Race [detailed version]
864,Filipino and Hawaiian,Race [detailed version]
865,Filipino and PI write_in,Race [detailed version]
866,Asian Indian and PI write_in (2000 1%),Race [detailed version]
867,Asian write_in and PI write_in,Race [detailed version]
868,Other Asian race(s) and PI race(s),Race [detailed version]
869,Japanese and Korean (ACS),Race [detailed version]
880,Asian and other race write_in,Race [detailed version]
881,Chinese and other race write_in,Race [detailed version]
882,Japanese and other race write_in,Race [detailed version]
883,Filipino and other race write_in,Race [detailed version]
884,Asian Indian and other race write_in,Race [detailed version]
885,Asian write_in and other race write_in,Race [detailed version]
886,Other Asian race(s) and other race write_in,Race [detailed version]
887,Chinese and Korean,Race [detailed version]
890,PI and other race write_in:,Race [detailed version]
891,PI write_in and other race write_in,Race [detailed version]
892,Other PI race(s) and other race write_in,Race [detailed version]
893,Native Hawaiian or PI other race(s),Race [detailed version]
899,API and other race write_in,Race [detailed version]
901,"White, Black, AIAN",Race [detailed version]
902,"White, Black, Asian",Race [detailed version]
903,"White, Black, PI",Race [detailed version]
904,"White, Black, other race write_in",Race [detailed version]
905,"White, AIAN, Asian",Race [detailed version]
906,"White, AIAN, PI",Race [detailed version]
907,"White, AIAN, other race write_in",Race [detailed version]
910,"White, Asian, PI",Race [detailed version]
911,"White, Chinese, Hawaiian",Race [detailed version]
912,"White, Chinese, Filipino, Hawaiian (2000 1%)",Race [detailed version]
913,"White, Japanese, Hawaiian (2000 1%)",Race [detailed version]
914,"White, Filipino, Hawaiian",Race [detailed version]
915,"Other White, Asian race(s), PI race(s)",Race [detailed version]
916,"White, AIAN and Filipino",Race [detailed version]
917,"White, Black, and Filipino",Race [detailed version]
920,"White, Asian, other race write_in",Race [detailed version]
921,"White, Filipino, other race write_in (2000 1%)",Race [detailed version]
922,"White, Asian write_in, other race write_in (2000 1%)",Race [detailed version]
923,"Other White, Asian race(s), other race write_in (2000 1%)",Race [detailed version]
925,"White, PI, other race write_in",Race [detailed version]
926,White and Japanese and Native Hawaiian and Pacific Islander,Race [detailed version]
927,White and Asian and Native Hawaiian and Pacific Islander,Race [detailed version]
930,"Black, AIAN, Asian",Race [detailed version]
931,"Black, AIAN, PI",Race [detailed version]
932,"Black, AIAN, other race write_in",Race [detailed version]
933,"Black, Asian, PI",Race [detailed version]
934,"Black, Asian, other race write_in",Race [detailed version]
935,"Black, PI, other race write_in",Race [detailed version]
936,Black and Native Hawaiian and Other Pacific Islander,Race [detailed version]
940,"AIAN, Asian, PI",Race [detailed version]
941,"AIAN, Asian, other race write_in",Race [detailed version]
942,"AIAN, PI, other race write_in",Race [detailed version]
943,"Asian, PI, other race write_in",Race [detailed version]
944,"Asian (Chinese, Japanese, Korean, Vietnamese); and Native Hawaiian or PI; and Other",Race [detailed version]
