INCTOT,INCTOT_group
404,"Under $10,000"
410,"Under $10,000"
420,"Under $10,000"
430,"Under $10,000"
440,"Under $10,000"
450,"Under $10,000"
460,"Under $10,000"
470,"Under $10,000"
480,"Under $10,000"
490,"Under $10,000"
500,"Under $10,000"
504,"Under $10,000"
510,"Under $10,000"
514,"Under $10,000"
520,"Under $10,000"
530,"Under $10,000"
540,"Under $10,000"
550,"Under $10,000"
560,"Under $10,000"
570,"Under $10,000"
580,"Under $10,000"
590,"Under $10,000"
600,"Under $10,000"
604,"Under $10,000"
610,"Under $10,000"
620,"Under $10,000"
630,"Under $10,000"
640,"Under $10,000"
650,"Under $10,000"
660,"Under $10,000"
670,"Under $10,000"
680,"Under $10,000"
690,"Under $10,000"
700,"Under $10,000"
710,"Under $10,000"
720,"Under $10,000"
730,"Under $10,000"
740,"Under $10,000"
750,"Under $10,000"
760,"Under $10,000"
770,"Under $10,000"
780,"Under $10,000"
790,"Under $10,000"
800,"Under $10,000"
804,"Under $10,000"
810,"Under $10,000"
820,"Under $10,000"
830,"Under $10,000"
840,"Under $10,000"
850,"Under $10,000"
860,"Under $10,000"
870,"Under $10,000"
880,"Under $10,000"
890,"Under $10,000"
900,"Under $10,000"
904,"Under $10,000"
910,"Under $10,000"
920,"Under $10,000"
930,"Under $10,000"
940,"Under $10,000"
950,"Under $10,000"
960,"Under $10,000"
970,"Under $10,000"
980,"Under $10,000"
984,"Under $10,000"
990,"Under $10,000"
1000,"Under $10,000"
1004,"Under $10,000"
1010,"Under $10,000"
1020,"Under $10,000"
1030,"Under $10,000"
1040,"Under $10,000"
1050,"Under $10,000"
1060,"Under $10,000"
1070,"Under $10,000"
1080,"Under $10,000"
1090,"Under $10,000"
1100,"Under $10,000"
1110,"Under $10,000"
1120,"Under $10,000"
1130,"Under $10,000"
1140,"Under $10,000"
1150,"Under $10,000"
1160,"Under $10,000"
1170,"Under $10,000"
1180,"Under $10,000"
1190,"Under $10,000"
1200,"Under $10,000"
1204,"Under $10,000"
1210,"Under $10,000"
1220,"Under $10,000"
1230,"Under $10,000"
1240,"Under $10,000"
1250,"Under $10,000"
1260,"Under $10,000"
1270,"Under $10,000"
1280,"Under $10,000"
1290,"Under $10,000"
1300,"Under $10,000"
1304,"Under $10,000"
1310,"Under $10,000"
1320,"Under $10,000"
1330,"Under $10,000"
1340,"Under $10,000"
1350,"Under $10,000"
1360,"Under $10,000"
1370,"Under $10,000"
1380,"Under $10,000"
1390,"Under $10,000"
1400,"Under $10,000"
1410,"Under $10,000"
1420,"Under $10,000"
1430,"Under $10,000"
1440,"Under $10,000"
1450,"Under $10,000"
1460,"Under $10,000"
1470,"Under $10,000"
1480,"Under $10,000"
1490,"Under $10,000"
1500,"Under $10,000"
1510,"Under $10,000"
1520,"Under $10,000"
1530,"Under $10,000"
1540,"Under $10,000"
1550,"Under $10,000"
1560,"Under $10,000"
1570,"Under $10,000"
1580,"Under $10,000"
1590,"Under $10,000"
1600,"Under $10,000"
1604,"Under $10,000"
1610,"Under $10,000"
1620,"Under $10,000"
1630,"Under $10,000"
1640,"Under $10,000"
1650,"Under $10,000"
1660,"Under $10,000"
1670,"Under $10,000"
1680,"Under $10,000"
1690,"Under $10,000"
1700,"Under $10,000"
1704,"Under $10,000"
1710,"Under $10,000"
1720,"Under $10,000"
1730,"Under $10,000"
1740,"Under $10,000"
1750,"Under $10,000"
1760,"Under $10,000"
1770,"Under $10,000"
1780,"Under $10,000"
1790,"Under $10,000"
1800,"Under $10,000"
1804,"Under $10,000"
1810,"Under $10,000"
1820,"Under $10,000"
1830,"Under $10,000"
1840,"Under $10,000"
1850,"Under $10,000"
1860,"Under $10,000"
1870,"Under $10,000"
1880,"Under $10,000"
1890,"Under $10,000"
1900,"Under $10,000"
1904,"Under $10,000"
1910,"Under $10,000"
1920,"Under $10,000"
1930,"Under $10,000"
1940,"Under $10,000"
1950,"Under $10,000"
1960,"Under $10,000"
1970,"Under $10,000"
1980,"Under $10,000"
1990,"Under $10,000"
2000,"Under $10,000"
2004,"Under $10,000"
2010,"Under $10,000"
2020,"Under $10,000"
2030,"Under $10,000"
2040,"Under $10,000"
2050,"Under $10,000"
2060,"Under $10,000"
2070,"Under $10,000"
2080,"Under $10,000"
2090,"Under $10,000"
2100,"Under $10,000"
2104,"Under $10,000"
2110,"Under $10,000"
2120,"Under $10,000"
2130,"Under $10,000"
2140,"Under $10,000"
2150,"Under $10,000"
2160,"Under $10,000"
2170,"Under $10,000"
2180,"Under $10,000"
2190,"Under $10,000"
2200,"Under $10,000"
2204,"Under $10,000"
2210,"Under $10,000"
2220,"Under $10,000"
2230,"Under $10,000"
2240,"Under $10,000"
2250,"Under $10,000"
2260,"Under $10,000"
2270,"Under $10,000"
2280,"Under $10,000"
2290,"Under $10,000"
2300,"Under $10,000"
2310,"Under $10,000"
2320,"Under $10,000"
2330,"Under $10,000"
2340,"Under $10,000"
2350,"Under $10,000"
2360,"Under $10,000"
2370,"Under $10,000"
2380,"Under $10,000"
2390,"Under $10,000"
2400,"Under $10,000"
2404,"Under $10,000"
2410,"Under $10,000"
2420,"Under $10,000"
2430,"Under $10,000"
2440,"Under $10,000"
2450,"Under $10,000"
2454,"Under $10,000"
2460,"Under $10,000"
2470,"Under $10,000"
2480,"Under $10,000"
2490,"Under $10,000"
2496,"Under $10,000"
2500,"Under $10,000"
2504,"Under $10,000"
2510,"Under $10,000"
2520,"Under $10,000"
2530,"Under $10,000"
2540,"Under $10,000"
2550,"Under $10,000"
2560,"Under $10,000"
2570,"Under $10,000"
2580,"Under $10,000"
2590,"Under $10,000"
2600,"Under $10,000"
2610,"Under $10,000"
2620,"Under $10,000"
2630,"Under $10,000"
2640,"Under $10,000"
2650,"Under $10,000"
2660,"Under $10,000"
2670,"Under $10,000"
2680,"Under $10,000"
2690,"Under $10,000"
2700,"Under $10,000"
2704,"Under $10,000"
2710,"Under $10,000"
2720,"Under $10,000"
2730,"Under $10,000"
2740,"Under $10,000"
2750,"Under $10,000"
2760,"Under $10,000"
2770,"Under $10,000"
2780,"Under $10,000"
2790,"Under $10,000"
2800,"Under $10,000"
2804,"Under $10,000"
2810,"Under $10,000"
2820,"Under $10,000"
2830,"Under $10,000"
2840,"Under $10,000"
2850,"Under $10,000"
2860,"Under $10,000"
2870,"Under $10,000"
2880,"Under $10,000"
2890,"Under $10,000"
2900,"Under $10,000"
2910,"Under $10,000"
2920,"Under $10,000"
2930,"Under $10,000"
2940,"Under $10,000"
2950,"Under $10,000"
2960,"Under $10,000"
2970,"Under $10,000"
2980,"Under $10,000"
2990,"Under $10,000"
3000,"Under $10,000"
3004,"Under $10,000"
3010,"Under $10,000"
3020,"Under $10,000"
3030,"Under $10,000"
3040,"Under $10,000"
3050,"Under $10,000"
3060,"Under $10,000"
3070,"Under $10,000"
3080,"Under $10,000"
3090,"Under $10,000"
3100,"Under $10,000"
3110,"Under $10,000"
3120,"Under $10,000"
3130,"Under $10,000"
3140,"Under $10,000"
3150,"Under $10,000"
3160,"Under $10,000"
3170,"Under $10,000"
3180,"Under $10,000"
3190,"Under $10,000"
3200,"Under $10,000"
3204,"Under $10,000"
3210,"Under $10,000"
3220,"Under $10,000"
3230,"Under $10,000"
3240,"Under $10,000"
3250,"Under $10,000"
3260,"Under $10,000"
3270,"Under $10,000"
3280,"Under $10,000"
3290,"Under $10,000"
3300,"Under $10,000"
3310,"Under $10,000"
3320,"Under $10,000"
3330,"Under $10,000"
3340,"Under $10,000"
3350,"Under $10,000"
3360,"Under $10,000"
3370,"Under $10,000"
3380,"Under $10,000"
3390,"Under $10,000"
3400,"Under $10,000"
3404,"Under $10,000"
3410,"Under $10,000"
3420,"Under $10,000"
3430,"Under $10,000"
3440,"Under $10,000"
3450,"Under $10,000"
3460,"Under $10,000"
3470,"Under $10,000"
3480,"Under $10,000"
3490,"Under $10,000"
3500,"Under $10,000"
3504,"Under $10,000"
3510,"Under $10,000"
3520,"Under $10,000"
3530,"Under $10,000"
3540,"Under $10,000"
3550,"Under $10,000"
3560,"Under $10,000"
3570,"Under $10,000"
3580,"Under $10,000"
3590,"Under $10,000"
3600,"Under $10,000"
3604,"Under $10,000"
3610,"Under $10,000"
3620,"Under $10,000"
3630,"Under $10,000"
3640,"Under $10,000"
3650,"Under $10,000"
3660,"Under $10,000"
3670,"Under $10,000"
3680,"Under $10,000"
3690,"Under $10,000"
3700,"Under $10,000"
3704,"Under $10,000"
3710,"Under $10,000"
3720,"Under $10,000"
3730,"Under $10,000"
3740,"Under $10,000"
3750,"Under $10,000"
3760,"Under $10,000"
3770,"Under $10,000"
3780,"Under $10,000"
3790,"Under $10,000"
3800,"Under $10,000"
3804,"Under $10,000"
3810,"Under $10,000"
3820,"Under $10,000"
3830,"Under $10,000"
3840,"Under $10,000"
3850,"Under $10,000"
3860,"Under $10,000"
3870,"Under $10,000"
3880,"Under $10,000"
3890,"Under $10,000"
3900,"Under $10,000"
3910,"Under $10,000"
3920,"Under $10,000"
3930,"Under $10,000"
3940,"Under $10,000"
3950,"Under $10,000"
3960,"Under $10,000"
3970,"Under $10,000"
3980,"Under $10,000"
3990,"Under $10,000"
4000,"Under $10,000"
4004,"Under $10,000"
4010,"Under $10,000"
4020,"Under $10,000"
4030,"Under $10,000"
4040,"Under $10,000"
4050,"Under $10,000"
4060,"Under $10,000"
4070,"Under $10,000"
4080,"Under $10,000"
4090,"Under $10,000"
4100,"Under $10,000"
4110,"Under $10,000"
4120,"Under $10,000"
4130,"Under $10,000"
4140,"Under $10,000"
4150,"Under $10,000"
4160,"Under $10,000"
4170,"Under $10,000"
4180,"Under $10,000"
4190,"Under $10,000"
4200,"Under $10,000"
4204,"Under $10,000"
4210,"Under $10,000"
4220,"Under $10,000"
4230,"Under $10,000"
4240,"Under $10,000"
4250,"Under $10,000"
4260,"Under $10,000"
4270,"Under $10,000"
4280,"Under $10,000"
4290,"Under $10,000"
4300,"Under $10,000"
4304,"Under $10,000"
4310,"Under $10,000"
4320,"Under $10,000"
4330,"Under $10,000"
4340,"Under $10,000"
4350,"Under $10,000"
4360,"Under $10,000"
4370,"Under $10,000"
4380,"Under $10,000"
4390,"Under $10,000"
4400,"Under $10,000"
4404,"Under $10,000"
4410,"Under $10,000"
4420,"Under $10,000"
4430,"Under $10,000"
4440,"Under $10,000"
4450,"Under $10,000"
4460,"Under $10,000"
4470,"Under $10,000"
4480,"Under $10,000"
4490,"Under $10,000"
4500,"Under $10,000"
